ano,mes,orgao,funcao,uf,valor_pago,licitacao,fav_tipo
2020,1,Ministério da Saúde,Saúde,SP,11932135.48,SIM,EMPRESA
2020,1,Ministério da Educação,Educação,SP,7144911.96,NAO,EMPRESA
2020,1,Ministério da Justiça,Segurança,SP,4300821.11,SIM,EMPRESA
2020,1,Ministério da Saúde,Saúde,RJ,13306161.46,SIM,PESSOA
2020,1,Ministério da Educação,Educação,RJ,5835186.93,SIM,PESSOA
2020,1,Ministério da Justiça,Segurança,RJ,4814018.54,NAO,PESSOA
2020,1,Ministério da Saúde,Saúde,MG,13704859.1,SIM,EMPRESA
2020,1,Ministério da Educação,Educação,MG,8088595.77,SIM,EMPRESA
2020,1,Ministério da Justiça,Segurança,MG,6645738.12,SIM,PESSOA
2020,1,Ministério da Saúde,Saúde,BA,15556216.01,SIM,PESSOA
2020,1,Ministério da Educação,Educação,BA,7768024.54,SIM,PESSOA
2020,1,Ministério da Justiça,Segurança,BA,5789349.7,SIM,PESSOA
2020,1,Ministério da Saúde,Saúde,PR,17056197.81,SIM,PESSOA
2020,1,Ministério da Educação,Educação,PR,8574819.62,SIM,PESSOA
2020,1,Ministério da Justiça,Segurança,PR,5224345.81,SIM,EMPRESA
2020,1,Ministério da Saúde,Saúde,RS,13835239.24,NAO,EMPRESA
2020,1,Ministério da Educação,Educação,RS,10067356.56,SIM,PESSOA
2020,1,Ministério da Justiça,Segurança,RS,5682651.81,SIM,EMPRESA
2020,1,Ministério da Saúde,Saúde,SC,14343997.56,NAO,EMPRESA
2020,1,Ministério da Educação,Educação,SC,8074868.7,SIM,EMPRESA
2020,1,Ministério da Justiça,Segurança,SC,6849734.96,NAO,EMPRESA
2020,1,Ministério da Saúde,Saúde,PE,13789681.63,SIM,EMPRESA
2020,1,Ministério da Educação,Educação,PE,7356830.89,NAO,EMPRESA
2020,1,Ministério da Justiça,Segurança,PE,4970185.04,SIM,EMPRESA
2020,1,Ministério da Saúde,Saúde,CE,16939504.32,SIM,PESSOA
2020,1,Ministério da Educação,Educação,CE,10871055.68,SIM,EMPRESA
2020,1,Ministério da Justiça,Segurança,CE,6851225.7,NAO,PESSOA
2020,1,Ministério da Saúde,Saúde,PA,16406702.01,NAO,PESSOA
2020,1,Ministério da Educação,Educação,PA,11605864.37,SIM,EMPRESA
2020,1,Ministério da Justiça,Segurança,PA,7252321.72,SIM,EMPRESA
2020,2,Ministério da Saúde,Saúde,SP,11715643.8,SIM,PESSOA
2020,2,Ministério da Educação,Educação,SP,6019640.84,SIM,PESSOA
2020,2,Ministério da Justiça,Segurança,SP,4933232.02,NAO,PESSOA
2020,2,Ministério da Saúde,Saúde,RJ,13715210.15,SIM,EMPRESA
2020,2,Ministério da Educação,Educação,RJ,5568490.52,NAO,PESSOA
2020,2,Ministério da Justiça,Segurança,RJ,3728851.35,SIM,EMPRESA
2020,2,Ministério da Saúde,Saúde,MG,11517680.71,SIM,EMPRESA
2020,2,Ministério da Educação,Educação,MG,8253179.21,NAO,PESSOA
2020,2,Ministério da Justiça,Segurança,MG,5090084.07,SIM,PESSOA
2020,2,Ministério da Saúde,Saúde,BA,12715849.79,NAO,PESSOA
2020,2,Ministério da Educação,Educação,BA,7169643.84,SIM,EMPRESA
2020,2,Ministério da Justiça,Segurança,BA,6432508.96,SIM,PESSOA
2020,2,Ministério da Saúde,Saúde,PR,10972934.31,SIM,EMPRESA
2020,2,Ministério da Educação,Educação,PR,9113746.85,SIM,PESSOA
2020,2,Ministério da Justiça,Segurança,PR,5559781.21,SIM,PESSOA
2020,2,Ministério da Saúde,Saúde,RS,16879850.23,NAO,EMPRESA
2020,2,Ministério da Educação,Educação,RS,8475999.5,NAO,EMPRESA
2020,2,Ministério da Justiça,Segurança,RS,6543622.5,NAO,PESSOA
2020,2,Ministério da Saúde,Saúde,SC,17871306.6,SIM,PESSOA
2020,2,Ministério da Educação,Educação,SC,10433335.55,SIM,EMPRESA
2020,2,Ministério da Justiça,Segurança,SC,6784187.34,SIM,EMPRESA
2020,2,Ministério da Saúde,Saúde,PE,14926224.83,NAO,EMPRESA
2020,2,Ministério da Educação,Educação,PE,9915373.1,SIM,PESSOA
2020,2,Ministério da Justiça,Segurança,PE,7658291.64,SIM,EMPRESA
2020,2,Ministério da Saúde,Saúde,CE,18523271.6,SIM,PESSOA
2020,2,Ministério da Educação,Educação,CE,8979697.15,SIM,PESSOA
2020,2,Ministério da Justiça,Segurança,CE,7097405.62,NAO,PESSOA
2020,2,Ministério da Saúde,Saúde,PA,15030830.56,SIM,EMPRESA
2020,2,Ministério da Educação,Educação,PA,11434738.04,SIM,EMPRESA
2020,2,Ministério da Justiça,Segurança,PA,5810792.86,NAO,PESSOA
2020,3,Ministério da Saúde,Saúde,SP,10011400.13,SIM,PESSOA
2020,3,Ministério da Educação,Educação,SP,8159005.64,NAO,PESSOA
2020,3,Ministério da Justiça,Segurança,SP,6424152.33,SIM,EMPRESA
2020,3,Ministério da Saúde,Saúde,RJ,10939856.76,NAO,PESSOA
2020,3,Ministério da Educação,Educação,RJ,7608589.13,NAO,PESSOA
2020,3,Ministério da Justiça,Segurança,RJ,4795708.72,NAO,EMPRESA
2020,3,Ministério da Saúde,Saúde,MG,13266235.6,SIM,EMPRESA
2020,3,Ministério da Educação,Educação,MG,6845588.77,NAO,PESSOA
2020,3,Ministério da Justiça,Segurança,MG,4352787.63,SIM,PESSOA
2020,3,Ministério da Saúde,Saúde,BA,15738064.02,SIM,PESSOA
2020,3,Ministério da Educação,Educação,BA,9017128.89,SIM,PESSOA
2020,3,Ministério da Justiça,Segurança,BA,5998272.13,SIM,PESSOA
2020,3,Ministério da Saúde,Saúde,PR,13584336.44,NAO,PESSOA
2020,3,Ministério da Educação,Educação,PR,9538948.1,SIM,PESSOA
2020,3,Ministério da Justiça,Segurança,PR,4371040.84,SIM,EMPRESA
2020,3,Ministério da Saúde,Saúde,RS,14039567.29,SIM,EMPRESA
2020,3,Ministério da Educação,Educação,RS,7643353.85,SIM,EMPRESA
2020,3,Ministério da Justiça,Segurança,RS,6633432.13,SIM,EMPRESA
2020,3,Ministério da Saúde,Saúde,SC,13881202.67,NAO,EMPRESA
2020,3,Ministério da Educação,Educação,SC,9996566.28,SIM,PESSOA
2020,3,Ministério da Justiça,Segurança,SC,6057367.17,SIM,PESSOA
2020,3,Ministério da Saúde,Saúde,PE,11698310.64,SIM,EMPRESA
2020,3,Ministério da Educação,Educação,PE,10045094.8,NAO,PESSOA
2020,3,Ministério da Justiça,Segurança,PE,6306299.96,SIM,EMPRESA
2020,3,Ministério da Saúde,Saúde,CE,14737569.6,SIM,EMPRESA
2020,3,Ministério da Educação,Educação,CE,9812629.37,NAO,EMPRESA
2020,3,Ministério da Justiça,Segurança,CE,6510958.38,SIM,PESSOA
2020,3,Ministério da Saúde,Saúde,PA,19509759.7,SIM,EMPRESA
2020,3,Ministério da Educação,Educação,PA,8916807.34,SIM,EMPRESA
2020,3,Ministério da Justiça,Segurança,PA,7581503.38,SIM,EMPRESA
2020,4,Ministério da Saúde,Saúde,SP,10139914.34,NAO,PESSOA
2020,4,Ministério da Educação,Educação,SP,6211672.33,SIM,PESSOA
2020,4,Ministério da Justiça,Segurança,SP,5058936.28,SIM,PESSOA
2020,4,Ministério da Saúde,Saúde,RJ,10011321.15,SIM,EMPRESA
2020,4,Ministério da Educação,Educação,RJ,10134001.83,SIM,EMPRESA
2020,4,Ministério da Justiça,Segurança,RJ,4959893.43,SIM,EMPRESA
2020,4,Ministério da Saúde,Saúde,MG,14835144.02,SIM,EMPRESA
2020,4,Ministério da Educação,Educação,MG,7805543.15,NAO,EMPRESA
2020,4,Ministério da Justiça,Segurança,MG,5314155.52,SIM,PESSOA
2020,4,Ministério da Saúde,Saúde,BA,9493718.9,NAO,PESSOA
2020,4,Ministério da Educação,Educação,BA,9239052.69,NAO,EMPRESA
2020,4,Ministério da Justiça,Segurança,BA,6477418.79,SIM,PESSOA
2020,4,Ministério da Saúde,Saúde,PR,13924749.13,SIM,PESSOA
2020,4,Ministério da Educação,Educação,PR,7254117.09,SIM,EMPRESA
2020,4,Ministério da Justiça,Segurança,PR,4341456.9,SIM,EMPRESA
2020,4,Ministério da Saúde,Saúde,RS,17146221.48,SIM,PESSOA
2020,4,Ministério da Educação,Educação,RS,8477082.94,SIM,PESSOA
2020,4,Ministério da Justiça,Segurança,RS,4605533.94,NAO,PESSOA
2020,4,Ministério da Saúde,Saúde,SC,14325221.98,SIM,PESSOA
2020,4,Ministério da Educação,Educação,SC,9037051.92,SIM,PESSOA
2020,4,Ministério da Justiça,Segurança,SC,6826812.63,NAO,EMPRESA
2020,4,Ministério da Saúde,Saúde,PE,14878129.96,SIM,PESSOA
2020,4,Ministério da Educação,Educação,PE,9290917.27,SIM,PESSOA
2020,4,Ministério da Justiça,Segurança,PE,5448810.32,SIM,EMPRESA
2020,4,Ministério da Saúde,Saúde,CE,16412278.03,NAO,EMPRESA
2020,4,Ministério da Educação,Educação,CE,9394760.02,NAO,EMPRESA
2020,4,Ministério da Justiça,Segurança,CE,6833789.22,SIM,PESSOA
2020,4,Ministério da Saúde,Saúde,PA,16982497.6,NAO,PESSOA
2020,4,Ministério da Educação,Educação,PA,10710522.1,SIM,EMPRESA
2020,4,Ministério da Justiça,Segurança,PA,7407430.0,SIM,EMPRESA
2020,5,Ministério da Saúde,Saúde,SP,8582587.46,NAO,EMPRESA
2020,5,Ministério da Educação,Educação,SP,9033872.92,SIM,PESSOA
